Date,Open,High,Low,Close,Volume,KDJ ,W%R ,RSI,label
2012/8/1,87.987144,88.057144,86.14286,86.687141,96125400,-0.433979889,-0.455719,241.8741307,1.811431
2012/8/2,86.120003,87.241432,85.75,86.827141,83039600,0.094236455,0.077141,-532.5067233,-1.867141
2012/8/3,87.66143,88.28286,87.365715,87.957146,86230200,-0.39818029,-0.408569,9.989303114,1.541427
2012/8/6,88.184288,89.267143,87.894287,88.935715,75525800,0.056807186,0.041428,-1.926291959,0.522858
2012/8/7,88.96714,89.285713,88.291428,88.701431,72611700,-0.578861008,-0.589997,468.5421542,0.782852
2012/8/8,88.484283,89.125717,88.157143,88.55143,61176500,-0.594845497,-0.605713,680.0403621,-0.482857
2012/8/9,88.264282,88.818573,88.257141,88.675713,55410600,-0.57510689,-0.581428,-623.9469004,-0.220001
2012/8/10,88.387146,88.822861,88.385712,88.814285,48734700,-0.566505418,-0.571427,-551.2494739,0.122864
2012/8/13,89.055717,90,89.035713,90,69708100,-0.0249987,-0.035713,13.91071627,0.668571
2012/8/14,90.267143,91.230003,90.029999,90.241432,85042300,-0.775413389,-0.788567,-282.7757712,1.211426
2012/8/15,90.185715,90.571426,89.678574,90.118568,64335600,-0.550148012,-0.560006,824.7237214,-0.081428
2012/8/16,90.172859,90.965714,90.071426,90.905716,63633500,-0.155878955,-0.16571,-24.3688829,-0.012856
2012/8/17,91.428574,92.598572,91.258568,92.587143,110690300,0.343046109,0.328575,36.84109351,1.255715
2012/8/20,92.858574,95.021431,92.842857,95.021431,153346200,1.201501186,1.178574,54.55255424,1.43
2012/8/21,95.831429,96.41143,92.904289,93.722855,203179900,-0.145057182,-0.181434,168.1949927,2.972855
2012/8/22,93.488571,95.571426,92.587143,95.552856,141330700,1.996938682,1.965713,42.50820812,-2.342858
2012/8/23,95.158569,95.699997,94.449997,94.66143,105032200,-0.775505349,-0.788567,202.7438691,1.669998
2012/8/24,94.215714,95.639999,93.650002,94.745712,109335100,0.116517162,0.09571,-1028.489777,-0.942855
2012/8/27,97.141426,97.267143,96.220001,96.525711,106752100,-0.683524371,-0.69429,41.51775401,2.925712
2012/8/28,96.425713,96.585716,95.809998,96.400002,66854200,-0.401964605,-0.409996,864.3761513,-0.715713
2012/8/29,96.464287,96.809998,96.085716,96.209999,50701700,-0.868235521,-0.875717,603.7604226,0.038574
2012/8/30,95.805717,95.935715,94.692856,94.83857,75674900,-0.841330877,-0.854286,166.3631013,-0.65857
2012/8/31,95.321426,95.514282,93.89286,95.034286,84580300,0.158401702,0.141426,-389.7338206,-0.484291
2012/9/4,95.108574,96.44857,94.928574,96.424286,91973000,0.511471653,0.495712,26.66429607,-0.212852
2012/9/5,96.510002,96.621429,95.657143,95.747147,84093800,-0.900015957,-0.909996,238.8238317,1.401428
2012/9/6,96.167145,96.898575,95.828575,96.610001,97799100,-0.207531526,-0.218574,-15.21849377,-0.342857
2012/9/7,96.864288,97.497147,96.538574,97.205711,82416600,-0.323031194,-0.332863,-65.56622737,0.697143
2012/9/10,97.207146,97.612854,94.585716,94.677139,121999500,-0.877565326,-0.908577,135.6486389,0.342858
2012/9/11,95.015717,95.728569,93.785713,94.370003,125995800,-0.395414533,-0.41571,402.9351713,-2.191429
2012/9/12,95.264282,95.699997,93.714287,95.684288,178058300,0.990750321,0.970001,22.56670082,0.248565
2012/9/13,96.767143,97.928574,96.395714,97.568573,149590000,0.188511837,0.172859,44.90413107,1.502861
2012/9/14,98.565712,99.568573,98.269997,98.754288,150118500,-0.502666973,-0.515709,15.28187426,1.798569
2012/9/17,99.907143,99.971428,99.230003,99.968575,99507800,-0.254011631,-0.261428,17.42731341,1.341431
2012/9/18,99.982857,100.332855,99.488571,100.272858,93375800,-0.207298169,-0.215713,-228.5695786,0.075714
2012/9/19,100.03714,100.57,99.938568,100.300003,81718700,-0.632286468,-0.638565,-3593.698702,0.054283
